,train_loss,train_vol_loss,train_acc,val_loss,val_acc
0,1.2551887084113227,3.904876909609194,0.5647222222222222,0.004818555821975073,0.7703333333333333
1,0.6082756050251148,2.3162770668312356,0.7706666666666667,0.004470131521423657,0.7806666666666666
2,0.5716312657109013,2.296843394526729,0.7801481481481481,0.004447599912683169,0.7823333333333333
3,0.5559114708370633,2.2896302603262444,0.7845185185185185,0.004307208925485611,0.7863333333333333
4,0.5463408421410455,2.2798345037389685,0.7871111111111111,0.004274713019529979,0.7891666666666667
5,0.5383249037000868,2.282465244434498,0.7888703703703703,0.004367025300860405,0.7841666666666667
6,0.5348069320254856,2.281458792792426,0.789537037037037,0.004261592720945676,0.788
7,0.5290517264472113,2.276388919406467,0.7913333333333333,0.004241901387770971,0.7895
8,0.5268626045650906,2.2741630701135707,0.7917407407407407,0.004232982814311981,0.7896666666666666
9,0.5241905324723986,2.2772598436143663,0.793,0.004219275946418444,0.7893333333333333
10,0.521970810925519,2.2752031187834563,0.7938518518518518,0.004228142927090327,0.7906666666666666
11,0.5202033696351228,2.2733442490189164,0.7941666666666667,0.004252141987284025,0.7893333333333333
12,0.5196799277552852,2.2715350223117405,0.7942407407407407,0.004242142920692762,0.7896666666666666
13,0.5164974563033492,2.2740447308575664,0.7950555555555555,0.004243438735604286,0.7903333333333333
14,0.5160343449910482,2.265940953855161,0.7953703703703704,0.004264003321528435,0.789
15,0.5148689787122939,2.2756435891610605,0.7957592592592593,0.0041956699341535566,0.7911666666666667
16,0.5135729892871997,2.2737957548918546,0.7961666666666667,0.00425294546286265,0.791
17,0.5116403810006601,2.2690194662588614,0.7966481481481481,0.004258102208375931,0.7895
18,0.5129485775982892,2.273826254950629,0.7964259259259259,0.0042353935837745665,0.7921666666666667
19,0.5099297812426532,2.259877840395327,0.7973888888888889,0.0042496849844853085,0.7905
20,0.5105390199025472,2.263056283456308,0.797037037037037,0.004231975088516871,0.791
21,0.5091399105213307,2.271318519874855,0.7977777777777778,0.0042534169554710385,0.7903333333333333
22,0.5090978866859719,2.265540690104167,0.7977222222222222,0.0042144381155570345,0.7915
23,0.5077566094575104,2.2604948657000508,0.7983148148148148,0.004250531524419785,0.7901666666666667
24,0.5073447193569607,2.259665670889395,0.7982592592592592,0.0042790414442618685,0.791
25,0.5079572438134088,2.261812966523347,0.7982222222222223,0.004336554621656736,0.7883333333333333
26,0.5073603401890507,2.2631317449499058,0.7982962962962963,0.004298063059647878,0.7906666666666666
27,0.5079097809968172,2.2504825173837166,0.7984814814814815,0.00423107481499513,0.7901666666666667
28,0.5061217462045176,2.2691950406674986,0.7991111111111111,0.0042746103405952455,0.7915
29,0.5066381570321542,2.259779304221824,0.7987962962962963,0.004293130278587342,0.7916666666666666
30,0.5034853713424118,2.2774299661141857,0.7995185185185185,0.004239743719498317,0.7915
31,0.5027434647878011,2.240415605333116,0.7996481481481481,0.004238159298896789,0.7911666666666667
32,0.5025190749698215,2.2352520418520325,0.7997962962962963,0.004236351678768794,0.7913333333333333
33,0.5024336094326444,2.2173329863371674,0.7998518518518518,0.004236606900890668,0.7911666666666667
34,0.5023420078842729,2.251592844080042,0.7998333333333333,0.004243672301371892,0.791
35,0.5023301590107105,2.2339817324037905,0.7998888888888889,0.004245560218890508,0.791
36,0.5022122674871374,2.217008393464265,0.7999259259259259,0.004251942877968152,0.7906666666666666
37,0.5022178263487639,2.2295260394061054,0.7999444444444445,0.00425202568868796,0.7911666666666667
38,0.5021635752077456,2.2421951531304254,0.8,0.0042524991085131966,0.7908333333333334
39,0.502128324649952,2.226395823160807,0.8000185185185186,0.0042602242032686866,0.791
40,0.502102787371035,2.2267254938196253,0.8000185185185186,0.004255805050333341,0.7906666666666666
41,0.5021047988467746,2.233299490469473,0.8000555555555555,0.004262863884369532,0.7911666666666667
42,0.5020523648438631,2.2347432171856916,0.800037037037037,0.004255463510751724,0.7908333333333334
43,0.5020341301670781,2.2241772144458913,0.8000555555555555,0.004260160436232885,0.791
44,0.5020267557214808,2.2403036436858,0.8000925925925926,0.004257991805672646,0.791
45,0.5019504477889449,2.2284973421450016,0.8001111111111111,0.0042591836154460905,0.791
46,0.5020049999378345,2.241524393717448,0.8000925925925926,0.004261206582188606,0.7908333333333334
47,0.501929835566768,2.2192134416368274,0.8001481481481482,0.004260086685419082,0.7911666666666667
48,0.5019255702407271,2.229418950398763,0.8001851851851852,0.004267305538058281,0.7911666666666667
49,0.501931218818382,2.2138621034975405,0.8001666666666667,0.004261209174990654,0.791
50,0.501887988337764,2.2337441349735965,0.8001851851851852,0.004271068617701531,0.7908333333333334
51,0.5019055743040862,2.226228190669307,0.8001851851851852,0.004264984930555026,0.7911666666666667
52,0.501895364831995,2.232614638151946,0.8001851851851852,0.004263437236348788,0.7911666666666667
53,0.501841376763803,2.235688276502821,0.8002222222222222,0.004271617740392685,0.791
54,0.501826137330797,2.2408004839861833,0.8002222222222222,0.004269105171163877,0.7905
55,0.5018263058839021,2.2162876976860892,0.8002407407407407,0.004264786129196485,0.7913333333333333
56,0.5018073033226861,2.2282764525236907,0.8002407407407407,0.004271058256427447,0.7915
57,0.5018593718210856,2.2292642115840207,0.8002407407407407,0.00426710536579291,0.7913333333333333
58,0.5017815070682102,2.228084576642072,0.8002407407407407,0.00427230719725291,0.7911666666666667
59,0.5018068299470124,2.230912852534541,0.8002407407407407,0.004268912156422933,0.7911666666666667
